custom_stats	right_forehead_custom_stats	right_cheek_custom_stats	left_forehead_custom_stats	left_cheek_custom_stats	chin_custom_stats	
3.81767	3.25019	3.89665	3.64622	3.66691	3.94235	
3.81767	3.25019	3.89665	3.64622	3.66691	3.94235	
