inner_stats	right_forehead_inner_stats	left_forehead_inner_stats	left_cheek_inner_stats	chin_inner_stats	
4.24223	4.70937	4.19188	4.17685	4.37715	
4.24223	4.70937	4.19188	4.17685	4.37715	
