,left_forehead,right_forehead,center_forehead,left_cheek,right_cheek,chin
custom,0.10820147973044135,0.014347827738699909,0.05938137033066881,0.23711910127332897,0.7369156036774749,0.2830646470377508
outer,0.880088107786526,0.6372831104332797,0.13503838355589048,0.5973828716156468,0.15234219673645763,0.8278412215300486
inner,0.194250281453681,0.029792622123313045,0.021340076473303035,0.664173523797855,,0.14647006515622243
middle,0.1295246985767442,0.047428995382835015,0.14954083476083357,0.2136422052664605,0.18842044756954174,0.6659653168936943
